deg_status;hatrho_J;hateta3_J;hateta3_full;var_source_Gamma1;var_source_Gamma2;var_source_Gamma3;jn;var_source_Gamma1_2;var_source_Gamma1_full;hatrho_J2;hateta3_J2;hateta3_full2;var2_source_Gamma1;var2_source_Gamma2;var2_source_Gamma3;jn2;var2_source_Gamma1_2;var2_source_Gamma1_full;n1;n2;rho1;rho2;alpha;r;mean;sigma
1;0.198633571518114;-5.49909530049164e-05;-5.5543949890052e-07;3.49929888438599e-10;3.93071198962767e-10;0;10636;5.81416023934145e-10;1.29469863997476e-09;0.503024319919774;0.00027343916007461;-3.43066022973095e-06;1.28238232246247e-07;4.50379997205085e-08;1.38066212865426e-07;10636;2.43087486044702e-08;1.8900071462337e-10;200;200;0.2;0.5;1.75;3;0;0.01
1;0.597671430362294;-0.000147996624550157;-1.53635417328255e-06;5.53284639321619e-10;5.41625318018358e-10;0;10636;5.12368367741108e-10;2.25461301754369e-10;0.503024319919774;0.00027343916007461;-3.43066022973095e-06;1.28238232246247e-07;4.50379997205085e-08;1.38066212865426e-07;10636;2.43087486044702e-08;1.8900071462337e-10;200;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000003;-3.72696565305433e-05;-3.05060656819448e-06;6.15931479067423e-09;2.15941225102161e-09;5.8932122594082e-09;10636;3.13582105329873e-09;7.91708103555797e-11;0.503024319919774;0.00027343916007461;-3.43066022973095e-06;1.28238232246247e-07;4.50379997205085e-08;1.38066212865426e-07;10636;2.43087486044702e-08;1.8900071462337e-10;200;200;1;0.5;1.75;3;0;0.01
1;0.201144124251149;-8.07492332497058e-05;5.50729358313483e-07;1.73744669621033e-10;2.28349277487311e-10;0;35777;1.83810505511887e-10;2.76245751606084e-10;0.503024319919774;0.00027343916007461;-3.43066022973095e-06;1.28238232246247e-07;4.50379997205085e-08;1.38066212865426e-07;10636;2.43087486044702e-08;1.8900071462337e-10;400;200;0.2;0.5;1.75;3;0;0.01
1;0.59993384949363;-1.70054845433793e-05;-1.05425968417243e-07;5.80406636500222e-09;2.05335262240787e-09;6.0308523001002e-09;35777;2.28556525157378e-11;2.38477517927439e-11;0.503024319919774;0.00027343916007461;-3.43066022973095e-06;1.28238232246247e-07;4.50379997205085e-08;1.38066212865426e-07;10636;2.43087486044702e-08;1.8900071462337e-10;400;200;0.6;0.5;1.75;3;0;0.01
1;1.00000000000008;1.54159392413334e-05;-1.30967697704229e-06;3.89841277771962e-09;1.32510283688183e-09;3.38543325264365e-09;35777;9.46000030737962e-11;9.15427644234216e-12;0.503024319919774;0.00027343916007461;-3.43066022973095e-06;1.28238232246247e-07;4.50379997205085e-08;1.38066212865426e-07;10636;2.43087486044702e-08;1.8900071462337e-10;400;200;1;0.5;1.75;3;0;0.01
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
